TICID,SECTOR,RA_OBJ,DEC_OBJ,EQUINOX,PMRA,PMDEC,PMTOTAL,TESSMAG,TEFF,LOGG,MH,RADIUS
6402314,13,283.64071,-49.938644,2000.0,9.37854,1.71323,9.53373849,10.41699982,5624.0,4.37463999,nan,1.07407999
6521751,13,283.974649,-48.601172,2000.0,-28.384,-27.8403,39.75844263,9.01500034,5864.0,4.40372992,nan,1.07176006
6528048,13,284.124434,-52.028384,2000.0,43.7,-38.96,58.54546609,9.65799999,5581.0,4.38309002,nan,1.05790997
6599033,13,284.352031,-49.179518,2000.0,42.9739,-30.6449,52.78130329,10.44499969,5855.0,4.51599979,nan,0.94060397
6671577,13,284.650978,-51.687891,2000.0,-19.14,-30.9,36.34762166,10.79100037,5588.0,4.38171005,nan,1.06054997
25065290,13,60.389398,-66.893063,2000.0,-25.9047,9.38529,27.55244364,10.97700024,5568.0,4.36776018,nan,1.07497001
25065471,13,60.307806,-67.557127,2000.0,-5.0,-18.4,19.06724941,10.19099998,5622.0,4.37503004,nan,1.07333004
25079777,13,60.954955,-68.572328,2000.0,31.2173,-2.89229,31.35099936,11.22200012,5706.0,4.4823699,nan,0.95859301
25080867,13,61.08803,-71.55925,2000.0,117.306,69.874,136.53964081,9.72900009,5740.0,4.43549013,nan,1.01615
25117645,13,61.416544,-70.854721,2000.0,39.0269,44.7898,59.4072816,11.30599976,5503.0,4.3987999,nan,1.02840996
25132754,13,62.136696,-70.434329,2000.0,61.4584,-30.4421,68.5846658,10.25,5911.0,4.49675989,nan,0.96960902
25154686,13,63.313017,-67.015689,2000.0,11.3143,-8.40496,14.0945641,11.53499985,5579.45019531,4.51202011,0.230618,0.92421699
29780270,13,65.007724,-71.316717,2000.0,-21.2,5.6,21.92715212,10.92199993,5679.56982422,4.3748498,-0.127005,1.07331002
29986329,13,72.771382,-68.513357,2000.0,-16.8301,-17.538,24.30707119,11.25899982,5536.0,4.39209986,nan,1.04093003
30190251,13,73.594843,-69.487883,2000.0,-76.0,72.0,104.69001863,9.27200031,5503.5,3.16000009,-1.13,1.02859998
30401427,13,74.713465,-71.537008,2000.0,-12.0021,-15.7552,19.80597716,11.32900047,5567.39990234,4.48626995,0.209289,0.94991797
30416888,13,285.639785,-34.68243,2000.0,-20.6,-27.2,34.12037514,10.31900024,5683.0,4.36323977,nan,1.09633005
30505449,13,285.851097,-30.196946,2000.0,21.5249,-34.459,40.62934901,10.35700035,5694.0,4.47280979,nan,0.96774298
30723470,13,75.608364,-68.447145,2000.0,-33.7646,-26.9875,43.22468472,11.25500011,5760.91992188,4.3699398,-0.466894,0.93436003
31238167,13,288.372628,-33.145079,2000.0,-32.9178,-34.5444,47.71684323,9.55000019,5708.0,4.39846992,nan,1.05607998
31943231,13,54.316886,-70.544548,2000.0,-108.752,-185.398,214.94049388,9.07900047,5733.0,4.46298981,nan,0.98359102
32151799,13,59.52205,-66.876789,2000.0,17.9589,13.3055,22.35080355,10.51500034,5500.0,4.39940977,nan,1.02726996
32189373,13,290.023255,-33.547533,2000.0,3.0,-4.8,5.66038868,10.28600025,5692.0,4.36152983,nan,1.09975004
